size,density,method,time
16,1.0,torch_matmul,2.5199539959430694e-05
16,1.0,torch_spmm,7.992554455995559e-05
16,1.0,sputnik,6.222181643048923e-05
16,0.5,torch_matmul,8.835115780433019e-06
16,0.5,torch_spmm,5.971211940050125e-05
16,0.5,sputnik,4.81205681959788e-05
16,0.25,torch_matmul,8.500150094429652e-06
16,0.25,torch_spmm,9.01940589149793e-05
16,0.25,sputnik,5.1656427482763924e-05
16,0.125,torch_matmul,1.3036032517751059e-05
16,0.125,torch_spmm,0.00011784126982092858
16,0.125,sputnik,5.06607194741567e-05
16,0.0625,torch_matmul,8.72987632950147e-06
16,0.0625,torch_spmm,8.66688477496306e-05
16,0.0625,sputnik,8.501087625821432e-05
16,0.03125,torch_matmul,1.7116436113913856e-05
16,0.03125,torch_spmm,8.756633227070172e-05
16,0.03125,sputnik,6.838940704862277e-05
16,0.015625,torch_matmul,1.1141256739695867e-05
16,0.015625,torch_spmm,7.370713477333387e-05
16,0.015625,sputnik,5.854526534676552e-05
16,0.0078125,torch_matmul,8.923746645450591e-06
16,0.0078125,torch_spmm,6.0026968518892924e-05
16,0.0078125,sputnik,4.79518435895443e-05
16,0.00390625,torch_matmul,9.927370895942051e-06
16,0.00390625,torch_spmm,3.700824454426766e-05
16,0.00390625,sputnik,4.4296495616436005e-05
32,1.0,torch_matmul,1.133279874920845e-05
32,1.0,torch_spmm,6.011488536993663e-05
32,1.0,sputnik,5.040153240164121e-05
32,0.5,torch_matmul,1.1051011582215626e-05
32,0.5,torch_spmm,6.0035598774751024e-05
32,0.5,sputnik,6.11450212697188e-05
32,0.25,torch_matmul,1.1460079501072565e-05
32,0.25,torch_spmm,8.445049946506819e-05
32,0.25,sputnik,5.00256506105264e-05
32,0.125,torch_matmul,1.1345744132995605e-05
32,0.125,torch_spmm,6.191146870454153e-05
32,0.125,sputnik,4.9021405478318535e-05
32,0.0625,torch_matmul,1.1040084064006806e-05
32,0.0625,torch_spmm,7.7285369237264e-05
32,0.0625,sputnik,5.035086845358213e-05
32,0.03125,torch_matmul,1.128644992907842e-05
32,0.03125,torch_spmm,7.471218705177308e-05
32,0.03125,sputnik,5.971820404132207e-05
32,0.015625,torch_matmul,1.1078671862681707e-05
32,0.015625,torch_spmm,5.99110188583533e-05
32,0.015625,sputnik,6.747810790936152e-05
32,0.0078125,torch_matmul,3.330263619621595e-05
32,0.0078125,torch_spmm,7.668323814868927e-05
32,0.0078125,sputnik,5.1583784321943917e-05
32,0.00390625,torch_matmul,1.0781611005465189e-05
32,0.00390625,torch_spmm,5.977094794313113e-05
32,0.00390625,sputnik,4.9345133205254874e-05
64,1.0,torch_matmul,1.1069327592849732e-05
64,1.0,torch_spmm,6.10522615412871e-05
64,1.0,sputnik,5.146960417429606e-05
64,0.5,torch_matmul,9.183833996454875e-06
64,0.5,torch_spmm,7.732898617784182e-05
64,0.5,sputnik,4.90001713236173e-05
64,0.25,torch_matmul,1.0960642248392105e-05
64,0.25,torch_spmm,7.308327282468478e-05
64,0.25,sputnik,5.2001575628916426e-05
64,0.125,torch_matmul,1.1245068162679672e-05
64,0.125,torch_spmm,0.0001141231507062912
64,0.125,sputnik,4.8984214663505556e-05
64,0.0625,torch_matmul,1.1286822458108266e-05
64,0.0625,torch_spmm,8.977151786287626e-05
64,0.0625,sputnik,7.946292559305827e-05
64,0.03125,torch_matmul,1.2318727870782216e-05
64,0.03125,torch_spmm,6.226828942696253e-05
64,0.03125,sputnik,5.609129245082537e-05
64,0.015625,torch_matmul,1.1471100151538849e-05
64,0.015625,torch_spmm,9.070628633101781e-05
64,0.015625,sputnik,6.872744609912237e-05
64,0.0078125,torch_matmul,1.1276671042044958e-05
64,0.0078125,torch_spmm,7.189437747001648e-05
64,0.0078125,sputnik,6.01540319621563e-05
64,0.00390625,torch_matmul,1.116075242559115e-05
64,0.00390625,torch_spmm,7.255071153243383e-05
64,0.00390625,sputnik,4.872608308990796e-05
128,1.0,torch_matmul,1.781300331155459e-05
128,1.0,torch_spmm,7.465916375319163e-05
128,1.0,sputnik,5.002313603957494e-05
128,0.5,torch_matmul,1.0808929800987244e-05
128,0.5,torch_spmm,7.668597002824148e-05
128,0.5,sputnik,5.076512073477109e-05
128,0.25,torch_matmul,1.1549424380064011e-05
128,0.25,torch_spmm,5.953597525755565e-05
128,0.25,sputnik,4.7890997181336084e-05
128,0.125,torch_matmul,1.1141846577326457e-05
128,0.125,torch_spmm,6.056800484657288e-05
128,0.125,sputnik,5.192123353481293e-05
128,0.0625,torch_matmul,1.1209491640329361e-05
128,0.0625,torch_spmm,7.826782142122587e-05
128,0.0625,sputnik,4.893395428856214e-05
128,0.03125,torch_matmul,1.1071221282084783e-05
128,0.03125,torch_spmm,6.038018812735875e-05
128,0.03125,sputnik,5.4020558794339496e-05
128,0.015625,torch_matmul,1.0894456257422766e-05
128,0.015625,torch_spmm,7.646925126512846e-05
128,0.015625,sputnik,4.7266297042369845e-05
128,0.0078125,torch_matmul,1.126419131954511e-05
128,0.0078125,torch_spmm,5.929690475265185e-05
128,0.0078125,sputnik,4.733229676882426e-05
128,0.00390625,torch_matmul,1.6096451630194983e-05
128,0.00390625,torch_spmm,6.486891458431879e-05
128,0.00390625,sputnik,5.309016754229863e-05
256,1.0,torch_matmul,1.7485798647006353e-05
256,1.0,torch_spmm,0.00030367330958445867
256,1.0,sputnik,5.45899694164594e-05
256,0.5,torch_matmul,1.1140542725721996e-05
256,0.5,torch_spmm,0.00017676095788677533
256,0.5,sputnik,6.147809326648713e-05
256,0.25,torch_matmul,1.1292379349470139e-05
256,0.25,torch_spmm,0.00014932705089449884
256,0.25,sputnik,4.9170323957999544e-05
256,0.125,torch_matmul,1.2537743896245956e-05
256,0.125,torch_spmm,9.119296446442604e-05
256,0.125,sputnik,4.988362391789754e-05
256,0.0625,torch_matmul,1.1460172633330027e-05
256,0.0625,torch_spmm,6.696330383419991e-05
256,0.0625,sputnik,5.1911578824122745e-05
256,0.03125,torch_matmul,1.104399561882019e-05
256,0.03125,torch_spmm,6.34705958267053e-05
256,0.03125,sputnik,4.944490889708201e-05
256,0.015625,torch_matmul,1.1126697063446046e-05
256,0.015625,torch_spmm,7.513950889309247e-05
256,0.015625,sputnik,4.993282879392306e-05
256,0.0078125,torch_matmul,1.7193332314491273e-05
256,0.0078125,torch_spmm,6.31852075457573e-05
256,0.0078125,sputnik,5.210128923257192e-05
256,0.00390625,torch_matmul,1.1619335661331812e-05
256,0.00390625,torch_spmm,5.952492356300354e-05
256,0.00390625,sputnik,4.904686162869135e-05
512,1.0,torch_matmul,5.87610217432181e-05
512,1.0,torch_spmm,0.00279248496517539
512,1.0,sputnik,0.00026186034083366396
512,0.5,torch_matmul,5.111719171206156e-05
512,0.5,torch_spmm,0.000986243567119042
512,0.5,sputnik,0.0001243960422774156
512,0.25,torch_matmul,5.033596729238828e-05
512,0.25,torch_spmm,0.0005307549921174844
512,0.25,sputnik,8.403873071074485e-05
512,0.125,torch_matmul,5.0195368627707165e-05
512,0.125,torch_spmm,0.0003703550125161807
512,0.125,sputnik,5.644174913565318e-05
512,0.0625,torch_matmul,5.025841916600863e-05
512,0.0625,torch_spmm,0.00022416096180677414
512,0.0625,sputnik,8.010317881902059e-05
512,0.03125,torch_matmul,5.051161472996076e-05
512,0.03125,torch_spmm,0.0001426893596847852
512,0.03125,sputnik,7.927020390828451e-05
512,0.015625,torch_matmul,5.015141020218531e-05
512,0.015625,torch_spmm,0.00010472688203056653
512,0.015625,sputnik,0.00010676191498835882
512,0.0078125,torch_matmul,5.0700207551320395e-05
512,0.0078125,torch_spmm,8.537884180744489e-05
512,0.0078125,sputnik,7.014308745662371e-05
512,0.00390625,torch_matmul,5.0026581933101016e-05
512,0.00390625,torch_spmm,0.00012486201400558155
512,0.00390625,sputnik,8.976903433601061e-05
1024,1.0,torch_matmul,0.0002322368634243806
1024,1.0,torch_spmm,0.013438304948310057
1024,1.0,sputnik,0.0014049798871080081
1024,0.5,torch_matmul,0.00021279326950510342
1024,0.5,torch_spmm,0.006000424611071745
1024,0.5,sputnik,0.0007843906991183758
1024,0.25,torch_matmul,0.00021160747855901717
1024,0.25,torch_spmm,0.003041577401260535
1024,0.25,sputnik,0.0005491034438212713
1024,0.125,torch_matmul,0.0002114971789220969
1024,0.125,torch_spmm,0.0016331536695361137
1024,0.125,sputnik,0.0003392905928194523
1024,0.0625,torch_matmul,0.00021402497465411823
1024,0.0625,torch_spmm,0.0009915765064458053
1024,0.0625,sputnik,0.00019887831682960193
1024,0.03125,torch_matmul,0.0002116884415348371
1024,0.03125,torch_spmm,0.0005741055433948834
1024,0.03125,sputnik,0.00011241259053349495
1024,0.015625,torch_matmul,0.0002115401749809583
1024,0.015625,torch_spmm,0.0003685994694630305
1024,0.015625,sputnik,6.697541102766991e-05
1024,0.0078125,torch_matmul,0.00020982489610711733
1024,0.0078125,torch_spmm,0.00025731253748138746
1024,0.0078125,sputnik,7.24459687868754e-05
1024,0.00390625,torch_matmul,0.00021116752177476882
1024,0.00390625,torch_spmm,0.00021583503112196923
1024,0.00390625,sputnik,7.763852675755819e-05
2048,1.0,torch_matmul,0.0015574580058455468
2048,1.0,torch_spmm,0.08947998710597554
2048,1.0,sputnik,0.010468374037494262
2048,0.5,torch_matmul,0.0015654004489382108
2048,0.5,torch_spmm,0.043112144557138285
2048,0.5,sputnik,0.007203692042579254
2048,0.25,torch_matmul,0.001541494857519865
2048,0.25,torch_spmm,0.02783640899385015
2048,0.25,sputnik,0.004853188091268142
2048,0.125,torch_matmul,0.0015407505445182324
2048,0.125,torch_spmm,0.018318632369240126
2048,0.125,sputnik,0.0027871584209303063
2048,0.0625,torch_matmul,0.0015348210620383421
2048,0.0625,torch_spmm,0.010846460703760386
2048,0.0625,sputnik,0.001498656099041303
2048,0.03125,torch_matmul,0.0015215547444919744
2048,0.03125,torch_spmm,0.004708982600520054
2048,0.03125,sputnik,0.00083807073533535
2048,0.015625,torch_matmul,0.0015344268331925074
2048,0.015625,torch_spmm,0.0029048135504126547
2048,0.015625,sputnik,0.00044577006871501605
2048,0.0078125,torch_matmul,0.0015331366720298925
2048,0.0078125,torch_spmm,0.0015617238357663154
2048,0.0078125,sputnik,0.00024036848917603494
2048,0.00390625,torch_matmul,0.0015402589924633503
2048,0.00390625,torch_spmm,0.0011441804158190886
2048,0.00390625,sputnik,0.00016605981315175692
4096,1.0,torch_matmul,0.013068843229363362
4096,1.0,torch_spmm,0.6475282612877588
4096,1.0,sputnik,0.0829689589018623
4096,0.5,torch_matmul,0.012892226905872424
4096,0.5,torch_spmm,0.9569651247002184
4096,0.5,sputnik,0.07017340110614896
4096,0.25,torch_matmul,0.012686601219077906
4096,0.25,torch_spmm,0.5346492693759501
4096,0.25,sputnik,0.04254030777762333
4096,0.125,torch_matmul,0.012640878340850275
4096,0.125,torch_spmm,0.30807190934816997
4096,0.125,sputnik,0.02399842080970605
4096,0.0625,torch_matmul,0.01247652235130469
4096,0.0625,torch_spmm,0.16971420270080367
4096,0.0625,sputnik,0.012474128386626641
4096,0.03125,torch_matmul,0.012474278112252553
4096,0.03125,torch_spmm,0.0917505440612634
4096,0.03125,sputnik,0.0065517588208119076
4096,0.015625,torch_matmul,0.01210779082030058
4096,0.015625,torch_spmm,0.03902642130851745
4096,0.015625,sputnik,0.0034202376070121923
4096,0.0078125,torch_matmul,0.011887866258621215
4096,0.0078125,torch_spmm,0.021785890311002733
4096,0.0078125,sputnik,0.0018966212247808775
4096,0.00390625,torch_matmul,0.01180969417716066
4096,0.00390625,torch_spmm,0.011497523449361325
4096,0.00390625,sputnik,0.0010483388168116411
8192,1.0,torch_matmul,0.11331789850567778
8192,1.0,torch_spmm,5.1771261985103285
8192,1.0,sputnik,0.6919127022537093
8192,0.5,torch_matmul,0.11225482321654758
8192,0.5,torch_spmm,12.48748346393307
8192,0.5,sputnik,0.6384449859149754
8192,0.25,torch_matmul,0.10930184725051124
8192,0.25,torch_spmm,6.436196186548719
8192,0.25,sputnik,0.36618016452218094
8192,0.125,torch_matmul,0.1072524305122594
8192,0.125,torch_spmm,3.301709708074729
8192,0.125,sputnik,0.19558663902183374
8192,0.0625,torch_matmul,0.10700027750184139
8192,0.0625,torch_spmm,1.6774067197926343
8192,0.0625,sputnik,0.10206357159962257
8192,0.03125,torch_matmul,0.10654456779981653
8192,0.03125,torch_spmm,0.8558576551576456
8192,0.03125,sputnik,0.05240925870214899
8192,0.015625,torch_matmul,0.10524905581648152
8192,0.015625,torch_spmm,0.43851272817701104
8192,0.015625,sputnik,0.02677928234140078
8192,0.0078125,torch_matmul,0.10271248699476322
8192,0.0078125,torch_spmm,0.21678764053309957
8192,0.0078125,sputnik,0.014216949014614027
8192,0.00390625,torch_matmul,0.101197156496346
8192,0.00390625,torch_spmm,0.11390682977313797
8192,0.00390625,sputnik,0.0078009755661090216
